"core","subcore","sample.label","depth_cm","depth.upr_cm","depth.lwr_cm","depth.range","age.14C","age.14C.se","count.14C","species","size.fraction","n.forams","n.forams.grp","cruise","site","age.14C.count.se","offset","age.14C.cal","age.14C.cal.se"
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1476.32917515674,87.8587690988666,12834,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",13.0263102668659,0,858,108.721491922915
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1372.7658368232,92.4018279667221,11062,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",13.0465752126742,0,764,104.526501668753
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1081.19959159888,116.831711793315,5945,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",14.0165154102769,0,509,117.741123797673
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1564.58829451409,102.543266401107,8313,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",17.1530911677051,0,954,125.919499823566
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",15039.2975724448,192.060051244365,2511,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",300.103319888576,0,17389,265.074536456141
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",16225.3545836347,224.719397205232,1862,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",375.989352394626,0,18722,271.615803590922
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",21038.7517664475,302.332745430879,1370,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",568.386640450232,0,24303,363.500181336363
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",14490.3498390319,200.919617498128,2188,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",309.755804518779,0,16703,270.513703736147
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",14323.736930548,195.147348786482,2319,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",297.419510041229,0,16501,268.826512916669
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",12638.8855670977,159.77884917432,3402,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",216.668910075125,0,14138,279.676053475323
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",17075.2371297522,235.719050377519,1759,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",407.10637650575,0,19711,308.704350064335
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",19207.1813653881,300.396089172024,1155,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",565.135732892866,0,22285,349.27532503419
"OR1-1218-C2-BC","1","ORI-1218-CZ BC(1)_36-37 cm",36.5,36,37,"36-37",16734.2774630811,216.426898427155,2115,"T. sacculifer","315-355",5,"5","OR1-1218","OR1-1218-C2-BC",363.851975068927,0,19293,276.382047023851
